25 119 155 199
50 286 364 461
75 459 570 763
100 669 823 1090
125 819 1005 1437
150 1061 1294 1787
175 1311 1572 2143
200 1534 1839 2521
225 1709 2045 2885
250 1884 2264 3256
275 2139 2550 3669
300 2414 2873 4052
325 2689 3175 4446
350 2964 3498 4864
375 3239 3800 5275
400 3463 4069 5684
425 3663 4299 6095
450 3863 4544 6534
475 4063 4774 6927
500 4263 5019 7369
525 4519 5305 7836
550 4819 5654 8239
575 5119 5980 8696
600 5419 6329 9107
625 5719 6655 9555
650 6019 7004 9984
675 6319 7330 10439
700 6619 7679 10871
725 6919 8005 11330
750 7219 8354 11797
775 7495 8656 12196
800 7720 8927 12668
825 7945 9181 13164
850 8170 9452 13592
875 8395 9706 14052
900 8620 9977 14539
925 8845 10231 14994
950 9070 10502 15460
975 9295 10756 15929
1000 9520 11027 16389
